X,Y,L
-174491.63939489302,744820.4541183119,n301
-174491.67732778052,744822.4537585536,n302
-174491.715260668,744824.4533987952,n303
-174491.75319355546,744826.4530390368,n304
-174491.79112644293,744828.4526792786,n305
-174491.82905933043,744830.4523195202,n306
-174491.8669922179,744832.4519597619,n307
-174491.90492510537,744834.4516000035,n308
-174491.94285799286,744836.4512402451,n309
-174491.98079088033,744838.4508804869,n310
-174491.99519980903,744839.2104502313,n311
-174491.84266660598,744841.2046251539,n312
-174491.69013340294,744843.1988000765,n313
-174491.5376001999,744845.1929749992,n314
-174491.38506699685,744847.1871499218,n315
-174491.2325337938,744849.1813248444,n316
-174491.08000059077,744851.175499767,n317
-174490.92746738772,744853.1696746896,n318
-174490.77493418468,744855.1638496122,n319
-174490.62240098164,744857.1580245348,n320
-174490.4698677786,744859.1521994574,n321
-174490.31733457555,744861.1463743801,n322
-174490.1648013725,744863.1405493027,n323
-174490.01226816946,744865.1347242253,n324
-174489.85973496642,744867.1288991479,n325
-174489.70720176338,744869.1230740704,n326
-174489.55466856033,744871.1172489931,n327
-174489.4021353573,744873.1114239157,n328
-174489.24960215428,744875.1055988383,n329
-174489.10548746164,744876.9897125937,n330
-174488.6257970676,744878.931334886,n331
-174488.14610667352,744880.8729571783,n332
-174487.66641627948,744882.8145794705,n333
-174487.18672588543,744884.7562017628,n334
-174486.86240796122,744886.068929554,n335
-174486.38271720742,744888.0105517574,n336
-174485.9030264536,744889.9521739607,n337
-174485.4233356998,744891.8937961642,n338
-174484.94364494598,744893.8354183675,n339
-174484.46395419218,744895.777040571,n340
-174483.98426343838,744897.7186627743,n341
-174483.50457268456,744899.6602849778,n342
-174483.02488193076,744901.6019071811,n343
-174482.54519117693,744903.5435293845,n344
-174482.06550042314,744905.4851515879,n345
-174481.5858096693,744907.4267737913,n346
-174481.10611891552,744909.3683959947,n347
-174480.62642816172,744911.3100181981,n348
-174480.1467374079,744913.2516404014,n349
-174479.6670466541,744915.1932626049,n350
-174479.18735590027,744917.1348848082,n351
-174478.70766514647,744919.0765070117,n352
-174478.22797439268,744921.018129215,n353
-174478.18230604538,744921.2029788841,n354
-174477.70261467047,744923.144600934,n355
-174477.22292329554,744925.086222984,n356
-174476.74323192064,744927.0278450339,n357
-174476.26354054574,744928.9694670839,n358
-174475.7838491708,744930.9110891338,n359
-174475.3041577959,744932.8527111838,n360
-174474.824466421,744934.7943332337,n361
-174474.34477504608,744936.7359552836,n362
-174473.86508367117,744938.6775773336,n363
-174473.38539229624,744940.6191993835,n364
-174472.90570092134,744942.5608214336,n365
-174472.42600954644,744944.5024434834,n366
-174471.9463181715,744946.4440655333,n367
-174471.4666267966,744948.3856875834,n368
-174470.9869354217,744950.3273096333,n369
-174470.50724404678,744952.2689316833,n370
-174470.02755267188,744954.2105537332,n371
-174469.54786129697,744956.1521757832,n372
-174469.06816992204,744958.0937978331,n373
-174468.58847854714,744960.035419883,n374
-174468.10878717224,744961.977041933,n375
-174468.00422796758,744962.4002608355,n376
-174467.15864253746,744964.2127136709,n377
-174466.31305710736,744966.0251665063,n378
-174465.46747167723,744967.8376193416,n379
-174464.6218862471,744969.6500721769,n380
-174463.776300817,744971.4625250123,n381
-174462.93071538687,744973.2749778477,n382
-174462.08512995677,744975.087430683,n383
-174461.23954452664,744976.8998835183,n384
-174460.39395909652,744978.7123363537,n385
-174459.54837366642,744980.5247891891,n386
-174458.7027882363,744982.3372420244,n387
-174457.85720280616,744984.1496948597,n388
-174457.01161737606,744985.9621476951,n389
-174456.16603194593,744987.7746005305,n390
-174455.3204465158,744989.5870533658,n391
-174454.4748610857,744991.3995062012,n392
-174453.62927565558,744993.2119590365,n393
-174452.78369022545,744995.0244118719,n394
-174451.93810479535,744996.8368647072,n395
-174451.82605433027,744997.0770369901,n396
-174450.74265327404,744998.7581800986,n397
-174449.65925221777,745000.4393232071,n398
-174448.57585116153,745002.1204663157,n399
-174447.49245010526,745003.8016094242,n400
-174446.40904904902,745005.4827525327,n401
-174445.32564799275,745007.1638956412,n402
-174444.2422469365,745008.8450387497,n403
-174443.15884588024,745010.5261818583,n404
-174442.075444824,745012.2073249667,n405
-174440.99204376774,745013.8884680752,n406
-174439.9086427115,745015.5696111837,n407
-174438.82524165523,745017.2507542922,n408
-174437.741840599,745018.9318974008,n409
-174436.65843954272,745020.6130405093,n410
-174435.57503848648,745022.2941836178,n411
-174434.49163743024,745023.9753267263,n412
-174433.40823637397,745025.6564698349,n413
-174432.32483531773,745027.3376129434,n414
-174431.24143426146,745029.0187560519,n415
-174430.15803320523,745030.6998991604,n416
-174429.07463214896,745032.381042269,n417
-174427.99123109272,745034.0621853775,n418
-174426.90783003645,745035.743328486,n419
-174425.8244289802,745037.4244715945,n420
-174424.74102792394,745039.105614703,n421
-174423.6576268677,745040.7867578114,n422
-174422.57422581143,745042.46790092,n423
-174421.4908247552,745044.1490440285,n424
-174420.40742369895,745045.830187137,n425
-174419.3240226427,745047.5113302455,n426
-174418.24062158645,745049.192473354,n427
-174417.15722053018,745050.8736164626,n428
-174416.07381947394,745052.5547595711,n429
-174414.99041841767,745054.2359026796,n430
-174413.90701736143,745055.9170457881,n431
-174412.82361630516,745057.5981888967,n432
-174411.74021524892,745059.2793320052,n433
-174410.65681419265,745060.9604751137,n434
-174409.57341313642,745062.6416182222,n435
-174408.49001208015,745064.3227613308,n436
-174407.4066110239,745066.0039044393,n437
-174406.32320996764,745067.6850475478,n438
-174405.2398089114,745069.3661906563,n439
-174404.15640785516,745071.0473337647,n440
-174403.0730067989,745072.7284768732,n441
-174401.98960574265,745074.4096199818,n442
-174400.90620468638,745076.0907630903,n443
-174399.82280363014,745077.7719061988,n444
-174398.73940257388,745079.4530493073,n445
-174397.65600151764,745081.1341924159,n446
-174396.57260046137,745082.8153355244,n447
-174395.48919940513,745084.4964786329,n448
-174394.40579834886,745086.1776217414,n449
-174393.32239729262,745087.85876485,n450
-174392.23899623635,745089.5399079585,n451
-174391.1555951801,745091.221051067,n452
-174390.07219412384,745092.9021941755,n453
-174388.9887930676,745094.583337284,n454
-174387.90539201137,745096.2644803926,n455
-174386.8219909551,745097.9456235011,n456
-174385.73858989886,745099.6267666095,n457
-174384.6551888426,745101.307909718,n458
-174383.57178778635,745102.9890528265,n459
-174382.48838673008,745104.6701959351,n460
-174381.40498567384,745106.3513390436,n461
-174380.32158461757,745108.0324821521,n462
-174379.23818356133,745109.7136252606,n463
-174378.15478250507,745111.3947683692,n464
-174377.07138144883,745113.0759114777,n465
-174375.98798039256,745114.7570545862,n466
-174374.90457933632,745116.4381976947,n467
-174373.82117828005,745118.1193408032,n468
-174372.7377772238,745119.8004839118,n469
-174371.65437616757,745121.4816270203,n470
-174370.5709751113,745123.1627701288,n471
-174369.48757405506,745124.8439132373,n472
-174368.4041729988,745126.5250563459,n473
-174367.32077194256,745128.2061994543,n474
-174366.2373708863,745129.8873425628,n475
-174365.15396983005,745131.5684856713,n476
-174364.07056877378,745133.2496287798,n477
-174363.43323637455,745134.2385949292,n478
-174361.65327079155,745133.3266067038,n479
-174359.87330520854,745132.4146184784,n480
-174358.09333962554,745131.502630253,n481
-174356.31337404254,745130.5906420276,n482
-174354.53340845954,745129.678653802,n483
-174352.75344287654,745128.7666655766,n484
-174350.9734772935,745127.8546773512,n485
-174349.1935117105,745126.9426891258,n486
-174347.4135461275,745126.0307009004,n487
-174345.6335805445,745125.118712675,n488
-174343.8536149615,745124.2067244495,n489
-174342.0736493785,745123.2947362241,n490
-174340.2936837955,745122.3827479987,n491
-174338.5137182125,745121.4707597733,n492
-174336.7337526295,745120.5587715477,n493
-174334.95378704648,745119.6467833223,n494
-174333.17382146348,745118.7347950969,n495
-174331.39385588048,745117.8228068715,n496
-174329.61389029748,745116.9108186461,n497
-174327.83392471448,745115.9988304207,n498
-174326.05395913144,745115.0868421952,n499
-174324.27399354844,745114.1748539698,n500
-174322.49402796544,745113.2628657444,n501
